ma_id,tier,k_total,k_subset,invisible,full_pooled_estimate,full_se,full_ci_lower,full_ci_upper,full_tau2,full_i2,subset_pooled_estimate,subset_se,subset_ci_lower,subset_ci_upper,subset_tau2,subset_i2,reproduction_gap,precision_gap_ratio,sign_flip,heterogeneity_gap,full_recommendation,subset_recommendation,recommendation_change
CD001059_pub6_data__A1,participant,8,0,True,-0.09163497221586234,0.05426061684801139,-0.19798578123796468,0.014715836806239987,0.0,0.0,,,,,,,,,,,uncertain,,
CD002112_pub2_data__A2,participant,95,0,True,0.3931366560282496,0.05663095961532086,0.2821399751822207,0.5041333368742785,0.47474573581177193,0.6074026029782086,,,,,,,,,,,harm,,
CD003594_pub7_data__A1,participant,49,0,True,0.5811156053746049,0.09877959388072605,0.3875076013683819,0.774723609380828,0.3429767966046596,0.4113757577099003,,,,,,,,,,,harm,,
CD004661_pub4_data__A19,participant,8,0,True,-0.09433124554066027,0.03946784157641797,-0.17168821503043952,-0.016974276050881046,0.003600403382221744,0.21727386276865857,,,,,,,,,,,uncertain,,
CD004667_pub6_data__A11,participant,14,0,True,-0.13748316957921497,0.04516834289489255,-0.22601312165320436,-0.04895321750522558,0.0,0.0,,,,,,,,,,,uncertain,,
CD006268_pub3_data__A3,participant,19,0,True,nan,3.6140624439169905e-09,nan,nan,0.0,0.0,,,,,,,,,,,uncertain,,
CD006404_pub5_data__A10,participant,124,1,True,-0.06677120866693036,0.03470492354546359,-0.13479285881603897,0.0012504414821782744,0.05985647642271909,0.2818924811805428,,,,,,,,,,,uncertain,,
CD006404_pub5_data__A4,participant,31,1,True,-0.3506955448585942,0.07631658311665486,-0.5002760477672378,-0.2011150419499507,0.14575154238481264,0.42903938284058,,,,,,,,,,,uncertain,,
CD006404_pub5_data__A6,participant,21,0,True,0.04036495952803029,0.30989511648358803,-0.5670294687798022,0.6477593878358628,0.0,0.0,,,,,,,,,,,uncertain,,
CD006404_pub5_data__A8,participant,24,0,True,0.6539322878486618,0.2978068919842186,0.07023077955959323,1.2376337961377302,0.0,0.0,,,,,,,,,,,uncertain,,
CD006404_pub5_data__A9,participant,27,0,True,1.0095439287533874,0.2621124926684611,0.4958034431232037,1.523284414383571,0.0,0.0,,,,,,,,,,,harm,,
CD006913_pub3_data__A4,participant,44,0,True,-0.02103858791713474,0.3041586052049929,-0.6171894541189208,0.5751122782846513,0.0,0.0,,,,,,,,,,,uncertain,,
CD006913_pub3_data__A8,participant,63,0,True,-0.24746065365895914,0.11270413730848615,-0.46836076278359196,-0.026560544534326297,0.013341611463045848,0.015219103209176313,,,,,,,,,,,uncertain,,
CD007896_pub4_data__A3,participant,358,0,True,-0.4536473626298508,0.10644207504837887,-0.6622738297246733,-0.2450208955350282,0.0,0.0,,,,,,,,,,,benefit,,
CD009022_pub4_data__A7,participant,9,0,True,1.0834943277740932,0.3960360861824006,0.30726359885658794,1.8597250566915984,0.0,0.0,,,,,,,,,,,harm,,
CD009885_pub4_data__A6,participant,118,0,True,nan,1.408027384464544e-09,nan,nan,0.0,0.0,,,,,,,,,,,uncertain,,
CD011330_pub2_data__A5,participant,8,0,True,-0.05366609841715404,0.7204608077157726,-1.4657692815400682,1.3584370847057603,0.0,0.0,,,,,,,,,,,uncertain,,
CD012079_pub2_data__A12,participant,19,0,True,0.3228832818295115,0.23598803208115335,-0.13965326104954906,0.785419824708572,0.09746862138258112,0.08332718348077692,,,,,,,,,,,uncertain,,
CD012712_pub2_data__A2,participant,97,0,True,-0.738175652745543,0.04536838661700818,-0.827097690514879,-0.6492536149762069,0.13974233775885794,0.4043524778903658,,,,,,,,,,,benefit,,
CD015083_pub2_data__A3,participant,73,0,True,0.014862409925908792,0.2346289024894476,-0.44501023895340847,0.4747350588052261,0.0,0.0,,,,,,,,,,,uncertain,,
CD016064_data__A4,participant,35,0,True,-0.10377947976214488,0.3396047064617261,-0.7694047044271279,0.5618457449028382,0.0,0.0,,,,,,,,,,,uncertain,,
